t, pose_x, pose_y, pose_theta, linear_displacement, linear_velocity, profile_displacement, profile_velocity, velocity_command_dx, velocity_command_dy, velocity_command_dtheta, steering_command_dx, steering_command_dy, steering_command_dtheta, cross_track_error, along_track_error, lookahead_point_x, lookahead_point_y, lookahead_point_velocity
0.0, 16.33, 51.725, 3.141592653589793, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -16.0, 0.0, 0.0, 0.0, 0.0, 32.33, 51.725, -61.96773353931868
0.01, 16.33, 51.725, 3.141592653589793, 0.0, 0.0, -0.006, -1.2, -1.2285017999999999, 0.0, 0.0, -16.0, 0.0, 0.0, 0.0, -0.006, 32.33, 51.725, -61.96773353931868
0.02, 16.342285018, 51.725, 3.141592653589793, -0.012285017999999998, -1.2285017999999999, -0.024, -2.4, -2.4322215149946, 0.0, 0.0, -16.0, 0.0, 0.0, 0.0, -0.011714982000000002, 32.342285018, 51.725, -61.99151880959201
0.03, 16.366607233149946, 51.725, 3.141592653589793, -0.036607233149946, -2.4322215149946, -0.054, -3.5999999999999996, -3.6364106771623033, 0.0, 0.0, -16.000000000000004, 0.0, 0.0, 0.0, -0.017392766850053996, 32.36660723314995, 51.725, -62.03858263980559
0.04, 16.402971339921567, 51.725, 3.141592653589793, -0.07297133992156904, -3.6364106771623033, -0.096, -4.8, -4.840560722438256, 0.0, 0.0, -15.999999999999996, 0.0, 0.0, 0.0, -0.023028660078430963, 32.402971339921564, 51.725, -62.10888118120609
0.05, 16.45137694714595, 51.725, 3.141592653589793, -0.1213769471459516, -4.840560722438256, -0.15000000000000002, -6.0, -6.044682103030306, 0.0, 0.0, -15.999999999999996, 0.0, 0.0, 0.0, -0.028623052854048425, 32.451376947145945, 51.725, -62.20233490243777
0.060000000000000005, 16.511823768176253, 51.725, 3.141592653589793, -0.18182376817625467, -6.044682103030306, -0.21600000000000003, -7.2, -7.248774812515285, 0.0, 0.0, -16.000000000000004, 0.0, 0.0, 0.0, -0.03417623182374535, 32.51182376817626, 51.725, -62.31883908066888
0.07, 16.584311516301405, 51.725, 3.141592653589793, -0.2543115163014075, -7.248774812515285, -0.29400000000000004, -8.4, -8.452839053776831, 0.0, 0.0, -16.0, 0.0, 0.0, 0.0, -0.039688483698592514, 32.584311516301405, 51.725, -62.45826417626683
0.08, 16.668839906839175, 51.725, 3.141592653589793, -0.33883990683917586, -8.452839053776831, -0.384, -9.6, -9.656875024076221, 0.0, 0.0, -16.0, 0.0, 0.0, 0.0, -0.045160093160824144, 32.668839906839175, 51.725, -62.620456542901394
0.09, 16.765408657079938, 51.725, 3.141592653589793, -0.4354086570799381, -9.656875024076221, -0.486, -10.799999999999999, -10.860882919392536, 0.0, 0.0, -16.0, 0.0, 0.0, 0.0, -0.0505913429200619, 32.76540865707994, 51.725, -62.80523925357809
0.09999999999999999, 16.874017486273864, 51.725, 3.141592653589793, -0.5440174862738635, -10.860882919392536, -0.5999999999999999, -11.999999999999998, -12.064862934344884, 0.0, 0.0, -16.0, 0.0, 0.0, 0.0, -0.055982513726136385, 32.874017486273864, 51.725, -63.01241303668451
0.10999999999999999, 16.994666115617314, 51.725, 3.141592653589793, -0.6646661156173124, -12.064862934344884, -0.7259999999999998, -13.199999999999998, -13.268815262203564, 0.0, 0.0, -16.0, 0.0, 0.0, 0.0, -0.06133388438268739, 32.99466611561731, 51.725, -63.241757310721184
0.11999999999999998, 17.127354268239348, 51.725, 3.141592653589793, -0.797354268239348, -13.268815262203564, -0.8639999999999997, -14.399999999999997, -14.472740094899391, 0.0, 0.0, -15.999999999999996, 0.0, 0.0, 0.0, -0.0666457317606517, 33.127354268239344, 51.725, -63.49303130562789
0.12999999999999998, 17.272081669188342, 51.725, 3.141592653589793, -0.9420816691883419, -14.472740094899391, -1.0139999999999996, -15.599999999999996, -15.676637623032972, 0.0, 0.0, -15.999999999999996, 0.0, 0.0, 0.0, -0.07191833081165766, 33.27208166918834, 51.725, -63.765975258010464
0.13999999999999999, 17.428848045418672, 51.725, 3.141592653589793, -1.0988480454186715, -15.676637623032972, -1.1759999999999997, -16.799999999999997, -16.880508035883928, 0.0, 0.0, -16.000000000000004, 0.0, 0.0, 0.0, -0.07715195458132817, 33.428848045418675, 51.725, -64.06031166721313
0.15, 17.597653125777512, 51.725, 3.141592653589793, -1.2676531257775108, -16.880508035883928, -1.3499999999999999, -18.0, -18.08435152142005, 0.0, 0.0, -16.0, 0.0, 0.0, 0.0, -0.0823468742224891, 33.59765312577751, 51.725, -64.37574659906169
0.16, 17.778496640991712, 51.725, 3.141592653589793, -1.4484966409917113, -18.08435152142005, -1.536, -19.200000000000003, -19.288168266306382, 0.0, 0.0, -16.0, 0.0, 0.0, 0.0, -0.08750335900828876, 33.77849664099171, 51.725, -64.71197102420858
0.17, 17.971378323654775, 51.725, 3.141592653589793, -1.641378323654775, -19.288168266306382, -1.7340000000000002, -20.400000000000006, -20.491958455914265, 0.0, 0.0, -16.0, 0.0, 0.0, 0.0, -0.09262167634522522, 33.971378323654775, 51.725, -65.06866217832626
0.18000000000000002, 18.176297908213918, 51.725, 3.141592653589793, -1.8462979082139177, -20.491958455914265, -1.9440000000000004, -21.60000000000001, -21.69572227433029, 0.0, 0.0, -16.0, 0.0, 0.0, 0.0, -0.09770209178608269, 34.17629790821392, 51.725, -65.4454849318984
